Column,Name of Field,Description,Comments,,,,,
DS,FEMALE_GP_LOCUM_INF_FTE,Female GP Infrequent Locums Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DT,TOTAL_GP_HC_UNDER30,Total GPs aged Under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DU,TOTAL_GP_HC_30TO34,Total GPs aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DV,TOTAL_GP_HC_35TO39,Total GPs aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DW,TOTAL_GP_HC_40TO44,Total GPs aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DX,TOTAL_GP_HC_45TO49,Total GPs aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DY,TOTAL_GP_HC_50TO54,Total GPs aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DZ,TOTAL_GP_HC_55TO59,Total GPs aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EA,TOTAL_GP_HC_60TO64,Total GPs aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EB,TOTAL_GP_HC_65TO69,Total GPs aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EC,TOTAL_GP_HC_70PLUS,Total GPs aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ED,TOTAL_GP_HC_UNKNOWN_AGE,Total GPs with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EE,MALE_GP_HC_UNDER30,Male GPs aged Under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EF,MALE_GP_HC_30TO34,Male GPs aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EG,MALE_GP_HC_35TO39,Male GPs aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EH,MALE_GP_HC_40TO44,Male GPs aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EI,MALE_GP_HC_45TO49,Male GPs aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EJ,MALE_GP_HC_50TO54,Male GPs aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
